,en,de,en_task
736,Description : Make yourself at home in Lollis Homestay !,Beschreibung : Fühl dich wie Zuhause in Lollis Homestay !,translate English to German: Description : Make yourself at home in Lollis Homestay !
738,"Independent therefrom , any Ordering Party is obliged to pass on all booking-related information to the Guest , in particular the present General Terms and Conditions .","Davon unabhängig ist jeder Besteller verpflichtet , alle buchungsrelevanten Informationen , insbesondere diese Allgemeine Geschäftsbedingungen , an den Gast weiterzuleiten .","translate English to German: Independent therefrom , any Ordering Party is obliged to pass on all booking-related information to the Guest , in particular the present General Terms and Conditions ."
739,"There is a strategy for this part of Central Asia , it will be reviewed , but I am looking at it in the context of the External Action Service and what we should be doing within this region to pull together the different elements of Commission and Council support .","Es gibt eine Strategie für diesen Teil Zentralasiens , sie wird überprüft werden , aber ich schaue auf sie im Zusammenhang mit dem Auswärtigen Dienst und was wir in dieser Region tun sollten , um die verschiedenen Hilfen von Kommission und Rat zusammenzuziehen .","translate English to German: There is a strategy for this part of Central Asia , it will be reviewed , but I am looking at it in the context of the External Action Service and what we should be doing within this region to pull together the different elements of Commission and Council support ."
741,Art is the means to pass on these experiences .,"Kunst ist das Mittel , diese Erfahrungen weiterzugeben .",translate English to German: Art is the means to pass on these experiences .
742,I did hear you .,– Ich habe Sie gehört .,translate English to German: I did hear you .
743,"They deal with these reports in accordance with established procedures and pass them on as appropriate to police , Internet service providers and other hotlines .","Die Hotlines bearbeiten diese Informationen nach einem vorgeschriebenen Verfahren und leiten sie an die zuständigen Behörden wie Polizei , Internet-Diensteanbieter und andere Hotlines weiter .","translate English to German: They deal with these reports in accordance with established procedures and pass them on as appropriate to police , Internet service providers and other hotlines ."
745,So a key goal of Clinton ’ s visit must be to pull together with the Asian leaders present at the ASEAN Regional Forum .,"Daher muss die Zusammenarbeit mit den asiatischen Machthabern , die beim ASEAN Regional Forum anwesend sein werden , ein entscheidendes Ziel von Clintons Besuch sein .",translate English to German: So a key goal of Clinton ’ s visit must be to pull together with the Asian leaders present at the ASEAN Regional Forum .
746,"I have taken note of the various points of view , and I can assure you that I shall pass them on to my colleagues in the Council .","Ich habe die verschiedenen Ansichten zur Kenntnis genommen und kann Ihnen versichern , dass ich meine Kollegen im Rat entsprechend informieren werde .","translate English to German: I have taken note of the various points of view , and I can assure you that I shall pass them on to my colleagues in the Council ."
748,"In order to minimise such instances , we decided to pass on our expertise in the form of lectures held at the meetings of the Slovenian Maintenance Staff Association .","Um solche Fälle weitgehend zu vermeiden , entschieden wir uns , unsere Fachkenntnisse in der Form von Vorlesungen bei den Zusammenkünften des Slowenischen Wartungspersonalsverbands an alle Interessengruppen weiterzuleiten .","translate English to German: In order to minimise such instances , we decided to pass on our expertise in the form of lectures held at the meetings of the Slovenian Maintenance Staff Association ."
749,I will certainly pass it on to a group of charity workers in my constituency who are trying to organize a trip to the European Union .,"Ich werde sie an eine Gruppe von Sozialarbeitern in meinem Wahlkreis weiterleiten , die eine Reise durch die Europäische Union planen .",translate English to German: I will certainly pass it on to a group of charity workers in my constituency who are trying to organize a trip to the European Union .
750,"Mr President , Commissioner , UNITA is without a shadow of a doubt guilty of restarting the war in Angola and must therefore be held responsible . It has not abided by the election results , it has prevented the demilitarisation of its forces and the extension of the state administration to the whole territory and it has disregarded the Lusaka protocol and the recommendations of the UN Security Council .","Da die UNITA sich nicht mit den Wahlergebnissen abfindet , da sie die Entmilitarisierung ihrer Streitkräfte und die Ausweitung der Staatsverwaltung auf das gesamte Staatsgebiet verhindert hat , da sie die Abkommen von Lusaka und die Empfehlungen des UN-Sicherheitsrates mißachtet , ist sie ohne den geringsten Zweifel für den erneuten Ausbruch des Krieges in Angola verantwortlich , und als solche muß sie verantwortlich gemacht werden .","translate English to German: Mr President , Commissioner , UNITA is without a shadow of a doubt guilty of restarting the war in Angola and must therefore be held responsible . It has not abided by the election results , it has prevented the demilitarisation of its forces and the extension of the state administration to the whole territory and it has disregarded the Lusaka protocol and the recommendations of the UN Security Council ."
